open,close,high,low,vol,amount,date,code,volume
152.6,158.1,158.5,152.46,49311.0,767194176.0,2025-07-15,688018,49311.0
158.3,154.9,158.8,154.5,35954.0,561084608.0,2025-07-16,688018,35954.0
154.9,155.5,156.0,153.1,26085.0,403145504.0,2025-07-17,688018,26085.0
155.55,153.59,158.3,152.29,30422.0,469982080.0,2025-07-18,688018,30422.0
152.9,156.44,159.79,152.22,39314.0,615205952.0,2025-07-21,688018,39314.0
156.01,154.17,158.4,153.16,34618.0,536566144.0,2025-07-22,688018,34618.0
152.58,154.08,156.5,151.11,28849.0,444528736.0,2025-07-23,688018,28849.0
154.03,154.45,155.5,153.0,24646.0,380076128.0,2025-07-24,688018,24646.0
155.0,158.99,159.4,154.59,39619.0,622767744.0,2025-07-25,688018,39619.0
160.0,157.33,160.5,156.51,32304.0,509647296.0,2025-07-28,688018,32304.0
157.0,162.33,164.58,156.18,47595.0,770320256.0,2025-07-29,688018,47595.0
163.07,163.56,171.81,161.01,57560.0,954096576.0,2025-07-30,688018,57560.0
163.68,161.98,167.55,159.11,50350.0,826418560.0,2025-07-31,688018,50350.0
161.75,160.47,164.48,158.1,28539.0,458761408.0,2025-08-01,688018,28539.0
158.47,161.3,161.96,157.74,31746.0,506621440.0,2025-08-04,688018,31746.0
160.96,160.0,160.97,158.16,24599.0,392473152.0,2025-08-05,688018,24599.0
160.12,160.0,162.62,157.01,35514.0,564512448.0,2025-08-06,688018,35514.0
158.5,156.42,160.14,156.08,36091.0,568570048.0,2025-08-07,688018,36091.0
155.96,150.86,156.4,150.24,49251.0,750321984.0,2025-08-08,688018,49251.0
150.86,153.23,154.77,150.2,32274.0,494855008.0,2025-08-11,688018,32274.0
153.0,155.3,156.8,151.58,40429.0,624384640.0,2025-08-12,688018,40429.0
155.01,163.3,163.6,153.8,64098.0,1018291136.0,2025-08-13,688018,64098.0
162.9,161.26,166.19,160.39,45350.0,740509440.0,2025-08-14,688018,45350.0
160.19,164.38,165.59,160.19,36759.0,600957760.0,2025-08-15,688018,36759.0
164.0,169.45,172.5,162.9,56727.0,955657088.0,2025-08-18,688018,56727.0
169.65,170.28,174.88,168.5,46436.0,799298944.0,2025-08-19,688018,46436.0
167.01,187.0,187.87,165.4,75623.0,1333266816.0,2025-08-20,688018,75623.0
185.81,181.35,186.87,178.54,58085.0,1058441344.0,2025-08-21,688018,58085.0
180.2,185.99,188.0,180.2,55809.0,1034372800.0,2025-08-22,688018,55809.0
187.6,184.93,196.0,182.1,67253.0,1255542016.0,2025-08-25,688018,67253.0
183.95,187.5,191.24,181.99,40337.0,753769728.0,2025-08-26,688018,40337.0
193.01,219.99,225.0,193.01,125693.0,2717937152.0,2025-08-27,688018,125693.0
217.9,222.88,224.3,211.77,115423.0,2505467136.0,2025-08-28,688018,115423.0
219.0,217.61,219.56,209.8,73869.0,1588612608.0,2025-08-29,688018,73869.0
220.06,218.18,225.6,211.33,72506.0,1582174208.0,2025-09-01,688018,72506.0
218.39,191.15,218.39,190.0,99687.0,2000640768.0,2025-09-02,688018,99687.0
192.57,187.71,194.88,186.0,52370.0,992514944.0,2025-09-03,688018,52370.0
188.0,176.04,188.97,172.75,61622.0,1111238912.0,2025-09-04,688018,61622.0
177.88,179.54,179.79,173.88,53399.0,946048384.0,2025-09-05,688018,53399.0
178.0,180.5,180.65,174.54,55828.0,992527104.0,2025-09-08,688018,55828.0
179.0,175.98,181.47,174.64,35957.0,639311104.0,2025-09-09,688018,35957.0
176.01,177.79,180.4,176.0,34894.0,622354240.0,2025-09-10,688018,34894.0
176.5,188.62,188.8,175.58,66192.0,1218952448.0,2025-09-11,688018,66192.0
188.0,190.5,194.8,184.53,68380.0,1291454720.0,2025-09-12,688018,68380.0
193.8,185.67,193.8,184.1,41181.0,771057792.0,2025-09-15,688018,41181.0
185.66,186.54,189.58,184.21,29955.0,559878912.0,2025-09-16,688018,29955.0
186.0,191.41,194.59,185.03,42222.0,805992256.0,2025-09-17,688018,42222.0
191.41,190.24,201.5,186.11,74347.0,1446425856.0,2025-09-18,688018,74347.0
190.5,184.34,191.0,184.0,41834.0,780661312.0,2025-09-19,688018,41834.0
195.4,199.41,202.25,190.02,88311.0,1742354816.0,2025-09-22,688018,88311.0
204.0,204.23,205.02,192.44,90787.0,1809664640.0,2025-09-23,688018,90787.0
200.08,206.8,209.68,196.95,73748.0,1507198592.0,2025-09-24,688018,73748.0
205.99,206.61,214.28,203.58,51361.0,1073725888.0,2025-09-25,688018,51361.0
206.61,197.0,210.88,196.61,54028.0,1095872000.0,2025-09-26,688018,54028.0
196.85,199.29,199.91,192.0,43000.0,844582272.0,2025-09-29,688018,43000.0
202.63,216.86,218.88,202.63,96109.0,2039105792.0,2025-09-30,688018,96109.0
213.8,216.18,222.5,207.56,88796.0,1911373440.0,2025-10-09,688018,88796.0
218.1,199.5,225.17,197.61,71185.0,1482299904.0,2025-10-10,688018,71185.0
186.73,196.02,200.99,186.73,53801.0,1051057984.0,2025-10-13,688018,53801.0
200.0,190.8,203.88,188.93,50337.0,985219712.0,2025-10-14,688018,50337.0
187.0,188.25,191.88,183.58,41250.0,769530432.0,2025-10-15,688018,41250.0
186.98,182.36,187.88,181.32,39127.0,720648512.0,2025-10-16,688018,39127.0
181.35,174.0,184.12,173.75,39176.0,698215808.0,2025-10-17,688018,39176.0
176.0,176.68,179.99,174.59,31427.0,556812096.0,2025-10-20,688018,31427.0
178.8,179.57,180.99,176.16,27868.0,499747072.0,2025-10-21,688018,27868.0
178.0,177.28,180.9,175.02,24487.0,434866816.0,2025-10-22,688018,24487.0
176.0,177.3,177.88,172.5,22052.0,385715584.0,2025-10-23,688018,22052.0
179.5,185.3,185.86,178.03,43076.0,787632768.0,2025-10-24,688018,43076.0
